G6PD Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
Chinese-5/Tomah,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Tondela,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Torun,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Tsukui,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"Chinese-5/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Urayasu,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Utrecht,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Vancouver,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"Chinese-5/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Villeurbanne,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Volendam,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Wayne,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/West Virginia,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Wexham,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Wisconsin,,G6PD Deficient,Abnormal/Priority/High Risk
Chinese-5/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cincinnati,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Cincinnati,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Cleveland Corum,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Clinic,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Coimbra Shunde,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Cosenza,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Costanzo,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Covao do Lobo,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Crispim,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Dagua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cincinnati/Durham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Farroupilha,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Figuera da Foz,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Flores,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Fukaya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Fushan,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Gaohe,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Georgia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Gidra,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cincinnati/Gond,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cincinnati/Guadalajara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Guangzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Haikou,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Hammersmith,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Harilaou,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Harima,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Hartford,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Hechi,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Hermoupolis,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Honiara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Ierapetra,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Ilesha,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Insuli,,G6PD Variable,Abnormal/Priority/High Risk
"Cincinnati/Iowa, Walter Reed, Springfield",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Iwatsuki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cincinnati/Japan, Shinagawa",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cincinnati/Kaiping, Anant, Dhon, Sapporo-like, Wosera",,G6PD Deficient,Abnormal/Priority/High Risk
"Cincinnati/Kalyan-Kerala, Jamnaga, Rohini",,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Kambos,,G6PD Deficient,Abnormal/Priority/High Risk
"Cincinnati/Kamiube, Keelung",,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Kamogawa,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Kawasaki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Kozukata,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Krakow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Lages,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Lagosanto,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Laibin,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cincinnati/La Jolla,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Lille,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Liuzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Loma Linda,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Ludhiana,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Lynwood,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Madrid,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Mahidol,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Malaga,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Manhattan,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cincinnati/Mediterranean, Dallas, Panama, Sassari, Cagliari, Birmingham",,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Mediterranean Haplotype,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Metaponto,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Mexico City,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
"Cincinnati/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Mira d'Aire,,G6PD Variable,Abnormal/Priority/High Risk
Cincinnati/Mizushima,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Montalbano,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Montpellier,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Mt Sinai,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Munich,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Murcia Oristano,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Musashino,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Namouru,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Nankang,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Nanning,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Naone,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Nara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cincinnati/Nashville, Anaheim, Portici",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Neapolis,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Nice,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Nilgiri,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/No name,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/North Dallas,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Olomouc,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Omiya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Orissa,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Osaka,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Palestrina,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cincinnati/Partenope,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Pawnee,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Pedoplis-Ckaro,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Piotrkow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Plymouth,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Praha,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Puerto Limon,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Quing Yan,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Radlowo,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Rehevot,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Rignano,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Riley,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Riverside,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Roubaix,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/S. Antioco,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Salerno Pyrgos,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Santa Maria,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Santiago,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cincinnati/Santiago de Cuba, Morioka",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Sao Borja,,G6PD Variable,Abnormal/Priority/High Risk
"Cincinnati/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Seoul,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Serres,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Shenzen,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Shinshu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Sibari,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Sierra Leone,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Sinnai,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Songklanagarind,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Split,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Stonybrook,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Sugao,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Sumare,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Sunderland,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Surabaya,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Suwalki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Swansea,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cincinnati/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Cincinnati/Telti, Kobe",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Tenri,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cincinnati/Tokyo, Fukushima",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Tomah,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Tondela,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Torun,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Tsukui,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"Cincinnati/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Urayasu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Utrecht,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Vancouver,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"Cincinnati/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
Cincinnati/Villeurbanne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Volendam,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Wayne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/West Virginia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Wexham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Wisconsin,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cincinnati/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cleveland Corum,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Cleveland Corum,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Clinic,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Coimbra Shunde,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Cosenza,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Costanzo,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Covao do Lobo,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Crispim,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Dagua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cleveland Corum/Durham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Farroupilha,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Figuera da Foz,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Flores,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Fukaya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Fushan,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Gaohe,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Georgia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Gidra,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cleveland Corum/Gond,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cleveland Corum/Guadalajara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Guangzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Haikou,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Hammersmith,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Harilaou,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Harima,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Hartford,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Hechi,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Hermoupolis,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Honiara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Ierapetra,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Ilesha,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Insuli,,G6PD Variable,Abnormal/Priority/High Risk
"Cleveland Corum/Iowa, Walter Reed, Springfield",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Iwatsuki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cleveland Corum/Japan, Shinagawa",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cleveland Corum/Kaiping, Anant, Dhon, Sapporo-like, Wosera",,G6PD Deficient,Abnormal/Priority/High Risk
"Cleveland Corum/Kalyan-Kerala, Jamnaga, Rohini",,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Kambos,,G6PD Deficient,Abnormal/Priority/High Risk
"Cleveland Corum/Kamiube, Keelung",,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Kamogawa,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Kawasaki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Kozukata,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Krakow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Lages,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Lagosanto,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Laibin,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cleveland Corum/La Jolla,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Lille,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Liuzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Loma Linda,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Ludhiana,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Lynwood,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Madrid,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Mahidol,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Malaga,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Manhattan,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cleveland Corum/Mediterranean, Dallas, Panama, Sassari, Cagliari, Birmingham",,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Mediterranean Haplotype,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Metaponto,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Mexico City,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
"Cleveland Corum/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Mira d'Aire,,G6PD Variable,Abnormal/Priority/High Risk
Cleveland Corum/Mizushima,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Montalbano,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Montpellier,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Mt Sinai,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Munich,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Murcia Oristano,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Musashino,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Namouru,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Nankang,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Nanning,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Naone,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Nara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cleveland Corum/Nashville, Anaheim, Portici",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Neapolis,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Nice,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Nilgiri,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/No name,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/North Dallas,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Olomouc,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Omiya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Orissa,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Osaka,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Palestrina,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Cleveland Corum/Partenope,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Pawnee,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Pedoplis-Ckaro,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Piotrkow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Plymouth,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Praha,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Puerto Limon,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Quing Yan,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Radlowo,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Rehevot,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Rignano,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Riley,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Riverside,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Roubaix,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/S. Antioco,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Salerno Pyrgos,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Santa Maria,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Santiago,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cleveland Corum/Santiago de Cuba, Morioka",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Sao Borja,,G6PD Variable,Abnormal/Priority/High Risk
"Cleveland Corum/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Seoul,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Serres,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Shenzen,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Shinshu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Sibari,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Sierra Leone,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Sinnai,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Songklanagarind,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Split,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Stonybrook,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Sugao,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Sumare,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Sunderland,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Surabaya,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Suwalki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Swansea,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cleveland Corum/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Cleveland Corum/Telti, Kobe",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Tenri,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Cleveland Corum/Tokyo, Fukushima",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Tomah,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Tondela,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Torun,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Tsukui,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"Cleveland Corum/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Urayasu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Utrecht,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Vancouver,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"Cleveland Corum/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
Cleveland Corum/Villeurbanne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Volendam,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Wayne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/West Virginia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Wexham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Wisconsin,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Cleveland Corum/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
Clinic,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Clinic/Clinic,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Clinic/Coimbra Shunde,,G6PD Deficient,Abnormal/Priority/High Risk
Clinic/Cosenza,,G6PD Deficient,Abnormal/Priority/High Risk
Clinic/Costanzo,,G6PD Deficient,Abnormal/Priority/High Risk
Clinic/Covao do Lobo,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Clinic/Crispim,,G6PD Deficient,Abnormal/Priority/High Risk
Clinic/Dagua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Clinic/Durham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Clinic/Farroupilha,,G6PD Deficient,Abnormal/Priority/High Risk
